wilayah;rasio_guru_murid;harapan_hidup;pengeluaran_kapita_tahun;IPM;kepadatan_km2
Aceh Barat;8;68.19;9775000;72.34;72
Aceh Barat Daya;10;65.3;8651000;67.41;82
Aceh Besar;11;69.99;9894000;74.00;147
Aceh Jaya;11;67.4;10041000;70.36;25
Aceh Selatan;9;64.64;8353000;67.87;57
Aceh Singkil;13;67.65;8994000;69.62;70
Aceh Tamiang;14;69.87;8759000;70.43;138
Aceh Tengah;9;69.05;10957000;73.95;50
Aceh Tenggara;13;68.48;8222000;70.32;55
Aceh Timur;12;68.94;9127000;68.72;81
Aceh Utara;11;69.01;8620000;70.22;226
Agam;14;72.89;10171000;73.29;294
Alor;10;61.99;7198000;62.26;74
Asahan;17;68.73;11515000;71.13;212
Asmat;25;58.9;5860000;52.22;4
Badung;16;75.51;17445000;82.13;1299
Balangan;12;68.13;11659000;69.73;70
Bandung;23;74.01;10588000;73.16;2050
Bandung Barat;22;72.79;9044000;69.04;1370
Banggai;13;70.88;9963000;71.08;38
Banggai Kepulauan;10;66.73;7712000;66.08;48
Banggai Laut;10;65.81;8037000;66.22;87
Bangka;19;71.37;12863000;72.95;109
Bangka Barat;17;70.25;12790000;70.12;71
Bangka Selatan;19;68.68;12341000;67.95;55
Bangka Tengah;18;71.82;13422000;71.4;85
Bangkalan;18;70.54;8971000;65.05;1059
Bangli;14;70.97;11424000;70.26;485
Banjar;15;67.73;12871000;70.72;122
Banjarnegara;20;74.37;9776000;68.61;995
Bantaeng;12;70.88;12133000;69.69;447
Bantul;14;73.9;16002000;80.69;1945
Banyu Asin;16;69.43;10299000;67.93;72
Banyumas;19;73.88;11905000;73.17;1331
Banyuwangi;18;71.06;12320000;71.94;296
Barito Kuala;13;66.55;10230000;67.37;105
Barito Selatan;9;67.48;11780000;71.01;15
Barito Timur;9;68.61;11710000;72.07;30
Barito Utara;9;71.5;10182000;71.21;19
Barru;12;69.35;11275000;71.53;142
Batang;20;74.79;9972000;69.45;1017
Batang Hari;15;70.93;10173000;70.51;52
Batu Bara;18;67.55;10755000;69.51;500
Bekasi;22;74.04;11757000;75.22;2542
Belitung;16;71.31;14045000;73.38;81
Belitung Timur;14;72.33;12357000;72.29;51
Belu;14;65.28;7593000;63.22;170
Bener Meriah;10;69.48;11421000;73.9;89
Bengkalis;15;71.5;11857000;74.38;85
Bengkayang;16;74.00;9484000;68.74;56
Bengkulu Selatan;11;68.15;10318000;71.42;141
Bengkulu Tengah;12;68.37;9697000;68.47;96
Bengkulu Utara;12;68.53;10774000;69.77;68
Berau;15;72.32;13095000;75.74;7
Biak Numfor;17;68.5;9788000;72.85;52
Bima;8;66.87;8699000;67.57;157
Bintan;14;70.76;14739000;74.99;141
Bireuen;10;71.48;9438000;73.16;248
Blitar;17;73.98;11001000;71.86;916
Blora;17;74.6;10067000;69.95;486
Boalemo;12;69.61;9543000;67.27;95
Bogor;25;71.65;10860000;71.2;2003
Bojonegoro;17;72.16;10323000;70.12;592
Bolaang Mongondow;13;69.78;10614000;68.95;47
Bolaang Mongondow Selatan;11;64.74;9238000;65.9;37
Bolaang Mongondow Timur;12;68.24;9390000;67.21;96
Bolaang Mongondow Utara;12;68.05;9285000;68.06;45
Bombana;13;69.2;8680000;66.81;46
Bondowoso;14;67.29;10851000;67.31;509
Bone;15;67.57;9277000;67.01;158
Bone Bolango;14;68.88;10676000;70.9;81
Boven Digoel;18;60.64;8086000;62.52;3
Boyolali;16;76.12;13250000;74.97;1054
Brebes;21;69.74;10514000;67.03;1041
Buleleng;18;72.32;13529000;73.45;626
Bulukumba;14;68.51;10941000;70.34;342
Bulungan;13;72.76;9641000;72.08;11
Bungo;15;68.13;11956000;70.55;77
Buol;12;69.32;8176000;68.72;33
Buru;13;66.72;10414000;69.94;27
Buru Selatan;12;66.69;7716000;65.37;20
Buton;11;68.46;7594000;67.23;95
Buton Selatan;10;67.76;7476000;65.44;186
Buton Tengah;13;67.78;7670000;65.29;121
Buton Utara;11;70.96;7935000;69.00;34
Ciamis;15;72.3;9428000;71.45;869
Cianjur;23;70.58;8244000;65.94;646
Cilacap;19;74.07;10904000;70.99;916
Cirebon;20;72.47;10791000;70.06;2307
Dairi;16;69.64;10740000;72.56;154
Deiyai;39;65.66;4808000;50.42;185
Deli Serdang;18;72.07;12657000;76.19;772
Demak;20;75.52;10698000;73.36;1338
Dharmasraya;14;71.9;11650000;72.3;78
Dogiyai;39;66.13;5705000;55.72;28
Dompu;10;67.36;9203000;69.15;102
Donggala;13;67.61;8303000;66.25;69
Empat Lawang;12;65.45;9838000;66.00;153
Ende;12;65.76;9413000;67.97;133
Enrekang;11;71.17;11183000;73.39;107
Fakfak;12;68.75;7678000;69.12;6
Flores Timur;12;65.62;7918000;64.93;153
Garut;22;71.85;8227000;67.41;842
Gayo Lues;11;65.77;9094000;68.25;19
Gianyar;17;74.13;14630000;78.39;1378
Gorontalo;16;67.89;9850000;68.28;224
Gorontalo Utara;14;66.3;9636000;66.01;75
Gowa;17;70.7;9812000;70.99;347
Gresik;17;72.99;13384000;77.16;1101
Grobogan;21;74.93;10610000;70.97;722
Gunung Kidul;15;74.23;9874000;70.96;504
Gunung Mas;11;70.72;10990000;71.4;13
Halmahera Barat;11;66.64;7636000;66.2;78
Halmahera Selatan;16;66.22;7479000;65.06;31
Halmahera Tengah;11;64.61;8212000;66.49;19
Halmahera Timur;12;69.5;8230000;67.93;14
Halmahera Utara;17;69.88;7774000;68.38;50
Hulu Sungai Selatan;13;66.51;13157000;69.76;127
Hulu Sungai Tengah;12;66.54;12448000;69.7;176
Hulu Sungai Utara;10;64.53;10132000;66.84;254
Humbang Hasundutan;15;70.02;8250000;70.32;87
Indragiri Hilir;14;68.31;10234000;67.37;53
Indragiri Hulu;15;70.48;10472000;70.46;62
Indramayu;21;72.15;10166000;68.55;900
Intan Jaya;31;65.93;5624000;49.25;35
Jayapura;16;67.45;10230000;72.67;15
Jayawijaya;23;60.26;7765000;59.6;20
Jember;18;69.68;9840000;67.97;821
Jembrana;17;72.82;11915000;73.58;384
Jeneponto;14;66.81;9425000;65.13;457
Jepara;17;75.97;10913000;73.15;1119
Jombang;18;72.86;11579000;74.05;1183
Kaimana;17;65.27;8453000;66.11;4
Kampar;15;71.12;11394000;73.84;82
Kapuas;12;69.02;11377000;70.01;28
Kapuas Hulu;12;72.69;7668000;66.7;8
Karanganyar;16;77.64;11798000;76.58;1202
Karangasem;18;70.89;10278000;68.28;623
Karawang;23;72.62;11927000;71.74;1477
Karimun;14;71.53;12304000;72.65;314
Karo;16;72.03;12554000;75.36;186
Katingan;13;66.16;11036000;69.74;10
Kaur;11;67.01;9009000;67.77;58
Kayong Utara;13;68.82;8234000;63.81;27
Kebumen;18;73.7;9282000;70.79;1115
Kediri;19;72.97;11565000;73.46;1181
Keerom;13;67.04;9153000;67.24;8
Kendal;19;74.53;11999000;73.19;911
Kepahiang;12;68.28;9708000;69.09;231
Kepulauan Anambas;9;67.73;12137000;69.61;82
Kepulauan Aru;13;63.29;7733000;64.21;13
Kepulauan Mentawai;11;64.93;6567000;62.19;15
Kepulauan Meranti;11;68.09;8246000;66.52;59
Kepulauan Morotai;14;67.74;6767000;63.8;28
Kepulauan Sangihe;10;70.51;11631000;71.63;189
Kepulauan Selayar;10;68.81;9446000;68.35;12
Kepulauan Seribu;14;69.2;12999000;72.79;2726
Kepulauan Sula;10;63.68;7417000;64.7;34
Kepulauan Talaud;9;70.57;8869000;70.43;91
Kepulauan Taliabu;11;62.53;6623000;61.64;39
Kepulauan Yapen;18;69.39;7685000;68.41;55
Kerinci;10;70.28;10570000;71.99;67
Ketapang;15;71.27;9426000;67.92;19
Klaten;16;76.95;12522000;76.95;1916
Klungkung;15;71.83;11500000;72.55;693
Kolaka;14;71.3;12639000;73.98;70
Kolaka Timur;11;72.9;8155000;68.73;33
Kolaka Utara;14;70.4;10721000;70.39;40
Konawe;12;70.38;10552000;72.04;58
Konawe Kepulauan;11;68.46;7192000;66.69;40
Konawe Selatan;15;70.95;9347000;69.36;54
Konawe Utara;13;69.59;9666000;71.1;13
Kota Ambon;14;71.00;14405000;81.63;1259
Kota Balikpapan;20;74.78;15455000;81.13;1366
Kota Banda Aceh;14;71.79;17228000;86.28;4475
Kota Bandar Lampung;16;71.66;12593000;78.01;6362
Kota Bandung;19;74.75;17639000;82.5;14578
Kota Banjar;15;71.49;10967000;72.55;1771
Kota Banjar Baru;15;72.36;14136000;79.68;684
Kota Banjarmasin;15;71.59;14770000;77.97;9135
Kota Batam;20;73.62;18506000;81.67;1264
Kota Batu;16;72.97;13094000;77.22;1559
Kota Baubau;15;71.36;10835000;76.67;700
Kota Bekasi;19;75.48;16239000;82.46;12312
Kota Bengkulu;15;70.46;14503000;80.99;2447
Kota Bima;10;70.83;11395000;76.84;699
Kota Binjai;15;72.79;11358000;76.95;3205
Kota Bitung;19;71.38;12665000;74.7;719
Kota Blitar;16;74.26;14058000;79.93;4580
Kota Bogor;20;74.13;12058000;77.17;8803
Kota Bontang;17;74.57;17327000;80.94;1242
Kota Bukittinggi;15;74.82;13633000;81.42;4796
Kota Cilegon;16;67.02;13185000;73.95;2479
Kota Cimahi;20;74.5;12500000;78.77;14482
Kota Cirebon;17;72.74;12087000;75.89;8922
Kota Denpasar;19;75.3;19850000;84.37;5189
Kota Depok;20;74.92;15926000;81.86;10267
Kota Dumai;16;71.25;12249000;75.26;210
Kota Gorontalo;15;72.88;13077000;78.22;2464
Kota Gunungsitoli;14;71.71;8434000;70.23;658
Kota Jakarta Barat;19;73.81;21357000;82.51;19564
Kota Jakarta Pusat;18;74.48;17765000;82.11;20178
Kota Jakarta Selatan;17;74.49;24221000;85.21;14430
Kota Jakarta Timur;19;74.83;18199000;83.45;16624
Kota Jakarta Utara;19;73.47;19201000;80.81;12708
Kota Jambi;17;72.99;12597000;79.58;3026
Kota Jayapura;17;70.76;15189000;80.61;426
Kota Kediri;16;74.34;12762000;79.59;4524
Kota Kendari;16;73.93;14765000;84.51;1112
Kota Kotamobagu;15;70.98;11151000;73.96;681
Kota Kupang;14;70.11;13513000;80.2;2457
Kota Langsa;13;69.63;12353000;77.82;830
Kota Lhokseumawe;12;71.87;11701000;78.04;1442
Kota Lubuklinggau;15;69.82;13832000;75.53;590
Kota Madiun;15;73.13;16503000;82.01;5863
Kota Magelang;16;77.02;12816000;80.39;7567
Kota Makassar;17;72.4;17406000;83.12;7590
Kota Malang;17;73.75;16897000;82.71;5809
Kota Manado;17;72.18;14399000;79.66;2935
Kota Mataram;17;72.2;15416000;79.59;7203
Kota Medan;17;73.58;15503000;81.76;9049
Kota Metro;15;71.88;12233000;77.89;2306
Kota Mojokerto;16;73.74;14054000;79.32;8041
